depth,width,dropout,n_params,train_accuracy,val_accuracy,epochs_ran,training_time_sec
1,32,0.0,3393,0.860695481300354,0.8586223721504211,14,0.6452109813690186
1,32,0.2,3393,0.8577197790145874,0.8578997850418091,15,0.6445062160491943
1,32,0.5,3393,0.8555092811584473,0.8591040372848511,15,0.7136199474334717
1,64,0.0,6785,0.8626934289932251,0.8569363951683044,15,0.6545810699462891
1,64,0.2,6785,0.8612905740737915,0.8564547300338745,15,0.812567949295044
1,64,0.5,6785,0.8593776822090149,0.8583815097808838,15,0.7432441711425781
1,128,0.0,13569,0.8629059791564941,0.8586223721504211,10,0.5537691116333008
1,128,0.2,13569,0.8614606261253357,0.8571772575378418,10,0.6809332370758057
1,128,0.5,13569,0.8615456819534302,0.8574181199073792,15,0.8952970504760742
1,256,0.0,27137,0.8654565811157227,0.8578997850418091,10,0.6174757480621338
1,256,0.2,27137,0.8657966256141663,0.8598265647888184,14,1.0374090671539307
1,256,0.5,27137,0.8602703809738159,0.8593448996543884,10,0.7785980701446533
1,512,0.0,54273,0.8667743802070618,0.8586223721504211,9,0.7132480144500732
1,512,0.2,54273,0.8643938302993774,0.8593448996543884,9,0.8906500339508057
1,512,0.5,54273,0.860015332698822,0.8586223721504211,8,0.8758342266082764
2,32,0.0,4449,0.8610780239105225,0.8571772575378418,10,0.5233542919158936
2,32,0.2,4449,0.8592501282691956,0.860789954662323,15,0.7789151668548584
2,32,0.5,4449,0.8542764782905579,0.8564547300338745,15,0.9349410533905029
2,64,0.0,10945,0.8654990792274475,0.8559730052947998,9,0.5590400695800781
2,64,0.2,10945,0.863161027431488,0.860789954662323,13,0.8450131416320801
2,64,0.5,10945,0.856486976146698,0.8600674271583557,12,0.7961030006408691
2,128,0.0,30081,0.8657116293907166,0.8600674271583557,8,0.5965371131896973
2,128,0.2,30081,0.8635861277580261,0.8603082895278931,10,0.8833768367767334
2,128,0.5,30081,0.8606529235839844,0.8586223721504211,13,1.1174750328063965
2,256,0.0,92929,0.8674120306968689,0.8571772575378418,8,0.8054330348968506
2,256,0.2,92929,0.8625658750534058,0.8600674271583557,6,0.8898742198944092
2,256,0.5,92929,0.8586124777793884,0.8591040372848511,8,1.0311250686645508
2,512,0.0,316929,0.8708552718162537,0.8583815097808838,8,1.4756700992584229
2,512,0.2,316929,0.8671144247055054,0.8578997850418091,8,1.8915150165557861
2,512,0.5,316929,0.8608229756355286,0.8593448996543884,8,1.9427530765533447
3,32,0.0,5505,0.8633310794830322,0.8576589822769165,9,0.5337939262390137
3,32,0.2,5505,0.8601853251457214,0.8593448996543884,15,0.886354923248291
3,32,0.5,5505,0.849132776260376,0.8583815097808838,15,0.8932061195373535
3,64,0.0,15105,0.8652865290641785,0.8586223721504211,8,0.5753648281097412
3,64,0.2,15105,0.8577197790145874,0.8586223721504211,10,0.9017369747161865
3,64,0.5,15105,0.8575497269630432,0.8566955924034119,15,1.105424165725708
3,128,0.0,46593,0.8687723278999329,0.8586223721504211,8,0.8004610538482666
3,128,0.2,46593,0.8634585738182068,0.8578997850418091,8,0.9250261783599854
3,128,0.5,46593,0.8605679273605347,0.8576589822769165,11,1.203927993774414
3,256,0.0,158721,0.8690273761749268,0.8595857620239258,6,0.9736151695251465
3,256,0.2,158721,0.8631185293197632,0.8574181199073792,7,1.369488000869751
3,256,0.5,158721,0.8591651320457458,0.8591040372848511,7,1.3233489990234375
3,512,0.0,579585,0.8679221272468567,0.8581406474113464,5,1.5972199440002441
3,512,0.2,579585,0.8662217259407043,0.8571772575378418,6,2.3120858669281006
3,512,0.5,579585,0.8602703809738159,0.8578997850418091,6,2.218722105026245
4,32,0.0,6561,0.8620132803916931,0.8578997850418091,8,0.5543169975280762
4,32,0.2,6561,0.8577197790145874,0.8576589822769165,14,0.9648370742797852
4,32,0.5,6561,0.8513007760047913,0.8528420329093933,15,1.0498278141021729
4,64,0.0,19265,0.8657116293907166,0.8557322025299072,8,0.7546570301055908
4,64,0.2,19265,0.8595902323722839,0.8591040372848511,10,0.9738988876342773
4,64,0.5,19265,0.8528311252593994,0.8586223721504211,8,0.8375289440155029
4,128,0.0,63105,0.872555673122406,0.8564547300338745,8,0.8538548946380615
4,128,0.2,63105,0.8613331317901611,0.8591040372848511,7,1.039539098739624
4,128,0.5,63105,0.854446530342102,0.8603082895278931,7,1.1196069717407227
4,256,0.0,224513,0.8706427216529846,0.8571772575378418,6,1.087111234664917
4,256,0.2,224513,0.8609930276870728,0.8600674271583557,6,1.420687198638916
4,256,0.5,224513,0.8584849238395691,0.8583815097808838,7,1.6353871822357178
4,512,0.0,842241,0.8673269748687744,0.8622350692749023,5,2.159106969833374
4,512,0.2,842241,0.8661792278289795,0.8578997850418091,6,3.043145179748535
4,512,0.5,842241,0.8587400317192078,0.8576589822769165,6,3.158144950866699
5,32,0.0,7617,0.8638836741447449,0.8554913401603699,10,0.6826088428497314
5,32,0.2,7617,0.8605254292488098,0.8591040372848511,15,1.26621413230896
5,32,0.5,7617,0.8414385318756104,0.8518785834312439,13,1.0257658958435059
5,64,0.0,23425,0.8669443726539612,0.8569363951683044,8,0.7199242115020752
5,64,0.2,23425,0.8567420244216919,0.8595857620239258,7,0.9079360961914062
5,64,0.5,23425,0.8529161810874939,0.8578997850418091,11,1.1856958866119385
5,128,0.0,79617,0.8668593764305115,0.8557322025299072,6,0.8014819622039795
5,128,0.2,79617,0.8627784252166748,0.8564547300338745,9,1.4754021167755127
5,128,0.5,79617,0.8542764782905579,0.8571772575378418,7,1.2165071964263916
5,256,0.0,290305,0.8665192723274231,0.8581406474113464,5,1.231752872467041
5,256,0.2,290305,0.86273592710495,0.8600674271583557,6,1.7176628112792969
5,256,0.5,290305,0.8538938760757446,0.8595857620239258,6,1.7233610153198242
5,512,0.0,1104897,0.8708978295326233,0.8574181199073792,6,3.3456740379333496
5,512,0.2,1104897,0.8668168783187866,0.863198459148407,6,3.9197659492492676
5,512,0.5,1104897,0.8592501282691956,0.860789954662323,6,4.195875883102417
